Año,Trimestre,Provincia, Otros ,"0,256 Mbps"," 0,375 Mbps ","0,625 Mbps","0,5 Mbps","0,512 Mbps","0,75 Mbps",1 Mbps,"1,2 Mbps","1,25 Mbps","1,5 Mbps",2 Mbps,"2,2 Mbps","2,5 Mbps","6,7 Mbps",3 Mbps,"3,2 Mbps","3,3 Mbps","3,5 Mbps",4 Mbps,"4,5 Mbps",5 Mbps,6 Mbps,"6,4 Mbps",7 Mbps,"7,5 Mbps",8 Mbps,9 Mbps,10 Mbps,"10,1 Mbps","10,2 Mbps","10,6 Mbps",11 Mbps,12 Mbps,"12,3 Mbps",13 Mbps,14 Mbps,15 Mbps,16 Mbps,17 Mbps,18 Mbps,19 Mbps,20 Mbps,"20,5 Mbps",21 Mbps,22 Mbps,23 Mbps,24 Mbps,25 Mbps,"25,1 Mbps","25,11 Mbps","25,5 Mbps",26 Mbps,27 Mbps,28 Mbps,29 Mbps,30 Mbps,31 Mbps,32 Mbps,34 Mbps,35 Mbps,36 Mbps,37 Mbps,38 Mbps,39 Mbps,40 Mbps,41 Mbps,45 Mbps, 46 Mbps ,47 Mbps,48 Mbps,49 Mbps,50 Mbps,"50,1 Mbps",51 Mbps,"50,25 Mbps",52 Mbps,54 Mbps,55 Mbps,56 Mbps,58 Mbps,59 Mbps,60 Mbps,61 Mbps,62 Mbps,63 Mbps,64 Mbps,65 Mbps,66 Mbps,67 Mbps,68 Mbps,70 Mbps,71 Mbps,75 Mbps,77 Mbps,78 Mbps,80 Mbps,81 Mbps,83 Mbps,82 Mbps,86 Mbps,84 Mbps,85 Mbps,90 Mbps,91 Mbps,92 Mbps,95 Mbps,97 Mbps,98 Mbps,100 Mbps,"100,1 Mbps","100,25 Mbps",105 Mbps,109 Mbps,110 Mbps,120 Mbps,122 Mbps,125 Mbps,126 Mbps,127 Mbps,128 Mbps,130 Mbps,131 Mbps,134 Mbps,137 Mbps,140 Mbps,145 Mbps,150 Mbps,155 Mbps,157 Mbps,158 Mbps,160 Mbps,164 Mbps,165 Mbps,180 Mbps,200 Mbps,203 Mbps,205 Mbps,212 Mbps,220 Mbps,225 Mbps,234 Mbps,240 Mbps,246 Mbps,250 Mbps,256 Mbps,270 Mbps,275 Mbps,300 Mbps,320 Mbps,325 Mbps,330 Mbps,340 Mbps,350 Mbps,380 Mbps,384 Mbps,400 Mbps,450 Mbps,473 Mbps,480 Mbps,500 Mbps,512 Mbps,520 Mbps,540 Mbps,600 Mbps,640 Mbps,680 Mbps,700 Mbps,768 Mbps,800 Mbps,850 Mbps,900 Mbps,945 Mbps,950 Mbps,999 Mbps,1000 Mbps,1024 Mbps,1075 Mbps,1536 Mbps,2000 Mbps,2048 Mbps,2529 Mbps,3072 Mbps,4000 Mbps,5000 Mbps,5125 Mbps,6000 Mbps,7000 Mbps,8000 Mbps,10000 Mbps
2024,1,Buenos Aires, 125.147 , 18 , -   , -   , 25.815 , 169 , 4.611 , 17.899 , -   , -   , 141 , 19.520 , -   , 21 , -   , 43.554 , -   , -   , 41.735 , 13.365 , 83 , 27.327 , 75.439 , -   , 11.286 , 53 , 63.826 , 688 , 157.372 , -   , -   , -   , 10 , 21.114 , -   , 238 , 149 , 94.414 , 231 , 2 , 1.080 , -   , 124.540 , -   , 2 , 1 , 20 , 106 , 42.701 , -   , -   , -   , -   , -   , -   , -   , 782.651 , 1.611 , 16 , -   , 1.373 , 30 , -   , -   , -   , 5.574 , 9 , -   , -   , -   , 659 , 1 , 504.344 , -   , 1 , -   , -   , -   , 255 , -   , -   , 59 , 75.495 , 78 , -   , -   , -   , 90 , -   , -   , -   , 7.238 , -   , 1.599 , -   , -   , 9.092 , -   , -   , -   , -   , -   , 16 , 3 , -   , -   , -   , -   , -   , 865.122 , -   , -   , 14 , -   , -   , 496 , -   , 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 484.778 , 28 , -   , -   , 1.211 , -   , -   , -   , 7.739 , -   , 3 , 1 , -   , -   , -   , 938 , 41 , 258 , 15 , -   , -   , 1.060.257 , 27 , -   , -   , -   , -   , -   , -   , 965 , -   , -   , 5 , 149.680 , 663 , -   , -   , 12.163 , -   , -   , -   , -   , 563 , -   , -   , -   , -   , 26 , 156.691 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
2024,1,Capital Federal, -   , 31 , -   , -   , 451 , 34 , 1.307 , 4.111 , -   , -   , -   , 249 , -   , -   , -   , 3.971 , -   , -   , 11.975 , 994 , -   , 3.547 , 9.017 , -   , 7 , -   , 16.864 , 3 , 34.541 , -   , -   , -   , 5 , 92 , -   , -   , -   , 29.730 , 5 , -   , -   , -   , 7.537 , -   , 1 , -   , -   , -   , 433 , -   , -   , -   , -   , -   , -   , -   , 58.579 , -   , -   , -   , 24 , -   , -   , -   , -   , 238 , -   , -   , -   , -   , -   , -   , 66.357 , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 17.314 , -   , -   , -   , -   , -   , 1 , -   , -   , 3 , -   , 1.091 , -   , -   , 11 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 375.600 , -   , -   , -   , -   , 1 , 30 , -   , 3 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , 147.085 , -   , -   , -   , 5 , -   , -   , -   , 3.301 , -   , -   , -   , 1 , 1 , -   , -   , -   , 1.442 , -   , -   , 1 , 553.467 , -   , 2 , -   , -   , -   , -   , -   , 3 , -   , -   , -   , 86.440 , -   , -   , -   , 372 , -   , -   , 1 , -   , 1 , -   , -   , -   , -   , 25 , 68.405 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
2024,1,Catamarca, 70 , -   , -   , -   , 34 , 37 , -   , 176 , -   , -   , -   , 115 , -   , -   , -   , 1.644 , -   , -   , -   , 1 , -   , 332 , 780 , -   , -   , -   , -   , -   , 3.424 , -   , -   , -   , -   , 31 , -   , -   , -   , 1.901 , -   , -   , -   , -   , 2.272 , -   , -   , -   , -   , 914 , 47 , -   , -   , -   , -   , -   , -   , -   , 861 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 35.211 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 17.716 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 42 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 8.099 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 372 , -   , -   , -   , 834 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 20 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
2024,1,Chaco, 3.816 , -   , -   , -   , 234 , 2 , -   , 416 , -   , -   , -   , 780 , -   , -   , -   , 2.925 , -   , -   , 167 , 385 , -   , 5.115 , 4.784 , -   , 106 , -   , 700 , 1 , 8.237 , -   , -   , -   , -   , 137 , -   , -   , -   , 3.421 , -   , -   , -   , -   , 1.975 , -   , -   , -   , -   , -   , 3.435 , -   , -   , -   , -   , -   , -   , -   , 2.294 , -   , -   , -   , 19 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 33.117 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 55.941 , -   , -   , -   , -   , -   , 650 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1.053 , -   , -   , -   , -   , -   , -   , -   , -   , 222 , -   , -   , -   , 23.172 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1.610 , -   , -   , -   , 679 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 150 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
2024,1,Chubut, 16.640 , 8 , -   , -   , 69 , 34 , 836 , 247 , -   , -   , -   , 1.870 , -   , -   , -   , 5.642 , -   , -   , 11.441 , 6.185 , -   , 4.369 , 14.321 , -   , 76 , -   , 13.374 , 21 , 18.414 , -   , -   , -   , 1 , 5.603 , -   , -   , 56 , 13.739 , 141 , -   , -   , -   , 3.484 , -   , -   , -   , -   , 8.047 , 5.560 , -   , -   , -   , -   , -   , -   , -   , 7.643 , -   , -   , -   , -   , -   , -   , -   , -   , 29 , -   , -   , -   , -   , 190 , -   , 31.184 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1.255 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 158 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 3 , -   , -   , -   , 31 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
2024,1,Córdoba, 14.710 , 2 , -   , -   , 87 , 10 , 83 , 7.973 , -   , -   , 7 , 7.589 , 18 , 133 , -   , 25.408 , -   , 3 , 4.897 , 10.133 , -   , 8.411 , 53.772 , 5 , 1.818 , -   , 10.313 , 714 , 74.948 , 18 , 53 , -   , 88 , 7.337 , 15 , 19 , 9 , 19.975 , 134 , -   , 58 , -   , 19.378 , 1 , -   , -   , -   , 2 , 23.046 , 311 , -   , 13 , -   , -   , -   , -   , 6.694 , -   , -   , -   , 8 , -   , -   , -   , -   , 1.368 , -   , -   , -   , -   , -   , -   , 242.593 , 402 , -   , 9 , -   , -   , -   , -   , -   , -   , 5.952 , -   , -   , -   , -   , -   , -   , -   , -   , 11 , -   , 495 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 295.368 , 1 , 16 , -   , -   , -   , 891 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 27 , -   , -   , -   , -   , -   , -   , -   , 11.502 , -   , -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , 198.178 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 18.929 , 21 , -   , -   , 5.047 , -   , -   , 1 , -   , -   , 1 , -   , -   , -   , -   , 3.190 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 
2024,1,Corrientes, 6.242 , -   , -   , -   , 10 , 57 , 118 , 2.572 , -   , -   , -   , 1.721 , -   , -   , -   , 5.092 , -   , -   , 480 , 1.718 , -   , 2.751 , 6.875 , -   , -   , -   , 4.890 , -   , 11.640 , -   , -   , -   , -   , 8 , -   , -   , -   , 1.673 , 3.548 , -   , -   , -   , 2.451 , -   , -   , -   , -   , -   , 1.421 , -   , -   , -   , -   , -   , -   , -   , 589 , -   , -   , -   , -   , -   , -   , -   , -   , 2.834 , -   , -   , -   , -   , -   , -   , 31.709 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 37.081 , -   , -   , -   , -   , -   , 1.705 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2.442 , -   , -   , -   , -   , -   , -   , -   , -   , 360 , -   , -   , -   , 25.789 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1.851 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 266 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
2024,1,Entre Ríos, 13.975 , 1 , -   , -   , 20 , 86 , 113 , 4.177 , -   , -   , -   , 4.821 , -   , -   , -   , 6.815 , -   , -   , 390 , 2.334 , -   , 5.417 , 14.797 , -   , 358 , -   , 2.399 , -   , 48.690 , -   , -   , -   , -   , 1.486 , -   , -   , -   , 5.069 , 1 , -   , -   , -   , 9.566 , -   , -   , -   , -   , -   , 863 , -   , -   , -   , -   , -   , -   , -   , 6.383 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 40.205 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 69.813 , -   , -   , -   , -   , -   , 780 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , 2.043 , -   , -   , -   , -   , -   , -   , -   , -   , 154 , -   , -   , -   , 51.544 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 3.543 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 708 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
2024,1,Formosa, 302 , 1 , -   , -   , 49 , 35 , -   , 158 , -   , -   , -   , 1.447 , -   , -   , -   , 10.284 , -   , -   , -   , 3.296 , -   , 2.059 , 5.047 , -   , 108 , -   , 162 , -   , 10.654 , -   , -   , -   , -   , 40 , -   , -   , -   , 1.172 , -   , -   , -   , -   , 2.964 , -   , -   , -   , -   , -   , 9 , -   , -   , -   , -   , -   , -   , -   , 268 , -   , -   , -   , 3 , -   , -   , -   , -   , 13 , -   , -   , -   , -   , -   , -   , 1.361 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 11.492 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 11.104 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 581 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 109 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
2024,1,Jujuy, 1.970 , -   , -   , -   , 26 , 32 , -   , 1.268 , -   , -   , -   , 1.637 , -   , -   , -   , 2.959 , -   , -   , -   , 2.889 , -   , 5.128 , 2.351 , -   , 10 , -   , 946 , -   , 10.327 , -   , -   , -   , -   , 23.495 , -   , -   , -   , 362 , -   , -   , 4 , -   , 4.687 , -   , -   , -   , -   , -   , 8 , -   , -   , -   , -   , -   , -   , -   , 268 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , 45.106 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 9.395 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 4.381 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 281 , 200 , -   , -   , 299 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 19 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
