,Año,Trimestre, Provincia ,Accesos por cada 100 hogares,Año-Trimestre
0,2024,1, Buenos Aires ,"81,10 ",2024-Q1
1,2024,1, Capital Federal ,"119,53 ",2024-Q1
2,2024,1, Catamarca ,"68,82 ",2024-Q1
3,2024,1, Chaco ,"46,70 ",2024-Q1
4,2024,1, Chubut ,"84,89 ",2024-Q1
5,2024,1, Córdoba ,"90,70 ",2024-Q1
6,2024,1, Corrientes ,"51,94 ",2024-Q1
7,2024,1, Entre Ríos ,"69,31 ",2024-Q1
8,2024,1, Formosa ,"39,61 ",2024-Q1
9,2024,1, Jujuy ,"57,65 ",2024-Q1
10,2024,1, La Pampa ,"100,49 ",2024-Q1
11,2024,1, La Rioja ,"80,03 ",2024-Q1
12,2024,1, Mendoza ,"52,59 ",2024-Q1
13,2024,1, Misiones ,"56,76 ",2024-Q1
14,2024,1, Neuquén ,"79,50 ",2024-Q1
15,2024,1, Río Negro ,"71,14 ",2024-Q1
16,2024,1, Salta ,"56,30 ",2024-Q1
17,2024,1, San Juan ,"51,62 ",2024-Q1
18,2024,1, San Luis ,"102,70 ",2024-Q1
19,2024,1, Santa Cruz ,"67,58 ",2024-Q1
20,2024,1, Santa Fe ,"80,40 ",2024-Q1
21,2024,1, Santiago Del Estero ,"49,41 ",2024-Q1
22,2024,1, Tierra Del Fuego ,"109,78 ",2024-Q1
23,2024,1, Tucumán ,"60,48 ",2024-Q1
24,2023,4, Buenos Aires ,"80,96 ",2023-Q4
25,2023,4, Capital Federal ,"117,02 ",2023-Q4
26,2023,4, Catamarca ,"68,63 ",2023-Q4
27,2023,4, Chaco ,"44,35 ",2023-Q4
28,2023,4, Chubut ,"84,96 ",2023-Q4
29,2023,4, Córdoba ,"90,67 ",2023-Q4
30,2023,4, Corrientes ,"52,56 ",2023-Q4
31,2023,4, Entre Ríos ,"69,94 ",2023-Q4
32,2023,4, Formosa ,"39,23 ",2023-Q4
33,2023,4, Jujuy ,"57,78 ",2023-Q4
34,2023,4, La Pampa ,"99,96 ",2023-Q4
35,2023,4, La Rioja ,"80,22 ",2023-Q4
36,2023,4, Mendoza ,"52,15 ",2023-Q4
37,2023,4, Misiones ,"56,27 ",2023-Q4
38,2023,4, Neuquén ,"79,91 ",2023-Q4
39,2023,4, Río Negro ,"70,26 ",2023-Q4
40,2023,4, Salta ,"56,98 ",2023-Q4
41,2023,4, San Juan ,"50,08 ",2023-Q4
42,2023,4, San Luis ,"102,07 ",2023-Q4
43,2023,4, Santa Cruz ,"73,75 ",2023-Q4
44,2023,4, Santa Fe ,"79,75 ",2023-Q4
45,2023,4, Santiago Del Estero ,"49,08 ",2023-Q4
46,2023,4, Tierra Del Fuego ,"110,49 ",2023-Q4
47,2023,4, Tucumán ,"61,04 ",2023-Q4
48,2023,3, Buenos Aires ,"80,64 ",2023-Q3
49,2023,3, Capital Federal ,"116,40 ",2023-Q3
50,2023,3, Catamarca ,"68,55 ",2023-Q3
51,2023,3, Chaco ,"42,87 ",2023-Q3
52,2023,3, Chubut ,"84,23 ",2023-Q3
53,2023,3, Córdoba ,"90,05 ",2023-Q3
54,2023,3, Corrientes ,"52,78 ",2023-Q3
55,2023,3, Entre Ríos ,"68,84 ",2023-Q3
56,2023,3, Formosa ,"38,86 ",2023-Q3
57,2023,3, Jujuy ,"57,61 ",2023-Q3
58,2023,3, La Pampa ,"99,00 ",2023-Q3
59,2023,3, La Rioja ,"80,44 ",2023-Q3
60,2023,3, Mendoza ,"52,03 ",2023-Q3
61,2023,3, Misiones ,"55,51 ",2023-Q3
62,2023,3, Neuquén ,"79,97 ",2023-Q3
63,2023,3, Río Negro ,"68,40 ",2023-Q3
64,2023,3, Salta ,"57,57 ",2023-Q3
65,2023,3, San Juan ,"50,45 ",2023-Q3
66,2023,3, San Luis ,"98,55 ",2023-Q3
67,2023,3, Santa Cruz ,"40,89 ",2023-Q3
68,2023,3, Santa Fe ,"79,09 ",2023-Q3
69,2023,3, Santiago Del Estero ,"48,67 ",2023-Q3
70,2023,3, Tierra Del Fuego ,"105,95 ",2023-Q3
71,2023,3, Tucumán ,"61,26 ",2023-Q3
72,2023,2, Buenos Aires ,"79,67 ",2023-Q2
73,2023,2, Capital Federal ,"115,48 ",2023-Q2
74,2023,2, Catamarca ,"67,42 ",2023-Q2
75,2023,2, Chaco ,"42,87 ",2023-Q2
76,2023,2, Chubut ,"82,49 ",2023-Q2
77,2023,2, Córdoba ,"90,13 ",2023-Q2
78,2023,2, Corrientes ,"52,37 ",2023-Q2
79,2023,2, Entre Ríos ,"64,43 ",2023-Q2
80,2023,2, Formosa ,"38,32 ",2023-Q2
81,2023,2, Jujuy ,"57,78 ",2023-Q2
82,2023,2, La Pampa ,"98,35 ",2023-Q2
83,2023,2, La Rioja ,"80,01 ",2023-Q2
84,2023,2, Mendoza ,"52,09 ",2023-Q2
85,2023,2, Misiones ,"55,18 ",2023-Q2
86,2023,2, Neuquén ,"78,97 ",2023-Q2
87,2023,2, Río Negro ,"68,56 ",2023-Q2
88,2023,2, Salta ,"57,48 ",2023-Q2
89,2023,2, San Juan ,"47,52 ",2023-Q2
90,2023,2, San Luis ,"93,41 ",2023-Q2
91,2023,2, Santa Cruz ,"41,66 ",2023-Q2
92,2023,2, Santa Fe ,"78,83 ",2023-Q2
93,2023,2, Santiago Del Estero ,"47,14 ",2023-Q2
